FLY524_P2_ul,FLY524_P1_ul,FLY524_P2_dl,FLY524_P1_dl,FLY526_P2_ul,FLY526_P1_ul,FLY526_P2_dl,FLY526_P1_dl
40.04754639,41.0078125,27.97412109,19.15087891,24.88830566,7.998291016,3.538146973,7.709228516
44.59326172,39.37280273,31.3260498,13.79663086,13.49316406,9.434448242,7.262512207,11.77490234
41.85760498,36.65515137,30.06390381,20.77270508,11.37457275,9.169311523,7.345275879,11.93041992
43.83221436,38.57739258,34.78143311,11.3527832,26.08129883,9.213500977,1.965637207,11.15283203
40.10925293,38.9309082,30.58117676,13.61889648,24.9911499,8.639038086,2.503601074,9.086669922
37.47644043,38.24597168,24.49804688,8.064697266,21.72070313,8.594848633,0.744873047,13.4855957
41.24053955,39.08557129,20.25640869,14.66308594,23.98327637,9.699584961,0,14.99633789
40.97314453,39.94726563,19.53222656,6.509521484,32.9307251,9.522827148,1.779418945,13.97436523
42.31011963,37.5168457,20.21502686,7.642578125,32.78674316,9.279785156,3.227783203,14.15209961
40.12982178,38.75415039,18.20800781,5.554199219,31.28521729,8.616943359,1.448364258,10.33081055
42.47467041,37.03076172,21.39440918,3.088134766,33.15698242,8.108764648,1.965637207,8.264648438
43.11230469,32.74438477,16.28375244,15.08520508,34.47338867,7.512207031,2.689819336,6.04296875
44.38757324,35.10852051,22.2220459,17.32910156,37.27075195,6.694702148,2.131164551,7.886962891
41.83703613,34.44567871,28.22241211,22.7722168,36.44799805,6.098144531,1.11730957,9.175537109
40.91143799,33.80493164,29.54663086,23.88305664,39.90356445,8.329711914,1.303527832,9.353271484
42.92718506,32.81066895,27.8706665,24.1940918,43.66766357,9.19140625,1.11730957,7.998046875
40.56176758,25.91711426,30.06390381,24.32739258,42.0838623,8.307617188,18.16662598,11.06396484
43.19458008,30.26977539,30.62255859,23.54980469,40.56176758,8.373901367,23.48419189,11.86376953
42.72149658,32.76647949,26.67059326,24.37182617,43.83221436,8.440185547,25.69812012,11.99707031
44.05847168,28.01611328,27.89135742,22.70556641,42.37182617,8.395996094,24.89117432,11.26391602
41.71362305,18.73632813,29.87768555,17.64013672,39.5333252,8.219238281,23.0289917,11.3527832
41.89874268,10.51708984,28.61553955,13.5078125,39.43048096,9.080932617,22.47033691,11.26391602
43.93505859,18.33862305,30.20874023,14.32983398,40.15039063,8.683227539,23.64971924,12.99682617
41.63134766,18.51538086,29.83630371,14.10766602,38.89569092,8.616943359,23.00830078,12.53027344
43.52368164,17.87463379,30.66394043,15.41845703,39.18365479,9.301879883,21.43579102,12.57470703
42.94775391,18.31652832,25.18084717,18.52880859,35.58410645,8.506469727,16.88378906,12.39697266
42.14556885,18.97937012,25.69812012,21.83911133,38.6282959,9.12512207,17.42175293,7.042724609
43.56481934,18.84680176,28.92590332,23.14990234,40.47949219,7.468017578,17.56658936,8.109130859
41.63134766,18.86889648,30.72601318,22.97216797,39.20422363,8.970458984,5.007202148,12.17480469
43.72937012,18.84680176,30.10528564,18.15112305,41.07598877,9.25769043,6.207275391,12.75244141
43.09173584,18.95727539,29.7121582,18.12890625,41.52850342,8.970458984,12.10418701,8.620117188
44.24359131,18.84680176,29.89837646,21.328125,37.55871582,8.41809082,4.324401855,13.08569336
43.19458008,18.82470703,29.27764893,23.32763672,38.29919434,8.572753906,4.096801758,14.79638672
41.63134766,19.02355957,31.63641357,21.43920898,39.71844482,8.815795898,8.566040039,13.95214844
41.77532959,18.93518066,28.94659424,17.97338867,36.03662109,8.727416992,7.386657715,14.57421875
42.20727539,18.78051758,21.72546387,23.74975586,43.4619751,8.064575195,6.51763916,11.86376953
41.40509033,18.97937012,24.27044678,21.17260742,36.4274292,7.180786133,9.393676758,12.1081543
42.5569458,18.86889648,25.24291992,20.12841797,36.75653076,6.981933594,9.807495117,6.131835938
42.26898193,18.8026123,22.84277344,23.28320313,25.34082031,8.020385742,7.779785156,11.61938477
42.02215576,18.47119141,18.60113525,24.10522461,31.73773193,7.71105957,8.069458008,13.84106445
43.19458008,18.93518066,19.51153564,22.26123047,30.7298584,9.390258789,7.966003418,10.37524414
40.99371338,18.36071777,20.9598999,21.90576172,32.80731201,8.771606445,8.317749023,11.08618164
43.29742432,18.75842285,23.27728271,23.97192383,38.48431396,7.512207031,7.883239746,8.220214844
41.96044922,18.91308594,24.12561035,23.88305664,38.83398438,7.180786133,6.51763916,10.41967773
43.09173584,18.97937012,18.24938965,19.70629883,38.01123047,7.0703125,7.303894043,11.97485352
41.81646729,18.60375977,23.36004639,20.77270508,37.70269775,7.84362793,8.524658203,9.131103516
42.14556885,18.55957031,19.61499023,19.59521484,37.7644043,8.152954102,9.559204102,7.46484375
42.78320313,18.89099121,22.86346436,17.61791992,37.12677002,7.821533203,8.276367188,7.553710938
42.45410156,18.7142334,23.56695557,18.01782227,32.68389893,8.793701172,11.29724121,14.10766602
41.03485107,18.64794922,16.63549805,20.81713867,28.63183594,9.103027344,9.248840332,12.99682617
41.42565918,18.89099121,18.51837158,22.79443359,31.36749268,9.589111328,10.44891357,17.12915039
42.45410156,18.91308594,18.06317139,21.88354492,29.55743408,8.771606445,22.51171875,16.79589844
43.52368164,18.93518066,19.44946289,15.95166016,36.92108154,8.859985352,19.82189941,20.86157227
38.69000244,18.7142334,18.95288086,16.64038086,30.54473877,9.213500977,23.46350098,19.52856445
40.68518066,18.93518066,17.11138916,15.75170898,26.90405273,8.926269531,23.56695557,16.81811523
42.68035889,18.95727539,13.71807861,18.90649414,22.52288818,8.882080078,22.76000977,13.5300293
44.34643555,18.55957031,16.24237061,18.88427734,25.97845459,9.080932617,15.39404297,13.64111328
43.4619751,18.67004395,19.15979004,20.35058594,24.88830566,8.639038086,12.60076904,15.86279297
43.0300293,18.8026123,19.88397217,20.10620117,23.96270752,9.434448242,14.60778809,12.37475586
42.61865234,18.67004395,20.64953613,20.37280273,24.20953369,8.152954102,17.17346191,8.286865234
42.96832275,18.86889648,20.93920898,16.08496094,18.902771,9.301879883,19.20117188,12.28588867
41.09655762,18.62585449,17.42175293,23.32763672,16.74304199,8.440185547,18.70458984,6.620605469
42.90661621,18.64794922,20.21502686,24.23852539,11.80651855,3.270019531,14.33880615,11.75268555
41.59020996,18.75842285,20.58746338,19.08422852,13.96624756,2.585083008,22.90484619,14.79638672
41.2611084,18.69213867,21.31164551,17.0402832,11.25115967,3.402587891,22.32550049,14.50756836
43.4208374,18.97937012,20.21502686,21.17260742,4.710266113,1.767578125,21.16680908,17.46240234
41.63134766,18.97937012,20.46331787,18.99536133,20.91851807,1.546630859,23.69110107,18.99536133
42.51580811,18.84680176,27.58099365,16.70703125,24.25067139,5.236450195,19.32531738,15.92944336
41.34338379,18.53747559,30.1673584,16.64038086,33.56835938,3.181640625,16.44927979,22.79443359
41.61077881,18.64794922,34.09863281,20.17285156,36.859375,2.18737793,12.93182373,19.57299805
41.67248535,18.89099121,35.34008789,22.68334961,32.31365967,8.572753906,10.32476807,14.50756836
40.43835449,18.82470703,32.77441406,19.9284668,23.61303711,4.728271484,14.8560791,14.08544922
